"ell","q2_center","N_signal","N_Blow","N_Bhigh","N_side_combined","alpha","R_subtracted","variance","z_residual"
1.35940045736796,3.8938580679142,98,263,186,449,0.284958979033728,-29.946581586144,134.459527259643,-2.58256621119738
1.38126305766863,3.97992532942216,123,259,161,420,0.284958979033728,3.31722880583409,157.104680287417,0.264655465004837
1.4031256579693,4.0678949647132,114,272,216,488,0.284958979033728,-25.0599817684594,153.626390429189,-2.02184490243546
1.42498825826997,4.15780902259831,134,255,188,443,0.284958979033728,7.76317228805834,169.972317541252,0.59545661818711
1.44685085857063,4.24971048130756,127,277,200,477,0.284958979033728,-8.92543299908843,165.733172612138,-0.693305382955672
1.4687134588713,4.34364326903337,127,272,187,459,0.284958979033728,-3.79617137648131,164.271543456963,-0.296186078273241
1.49057605917197,4.43965228492783,126,292,189,481,0.284958979033728,-11.0652689152233,165.057979091065,-0.861278708340446
1.51243865947264,4.5377834205642,130,323,211,534,0.284958979033728,-22.1680948040109,173.361664936859,-1.68365008060196
1.53430125977331,4.63808358187269,131,286,170,456,0.284958979033728,1.05870556061987,168.027938597767,0.0816741163450482
1.55616386007398,4.74060071156114,137,280,210,490,0.284958979033728,-2.6298997265269,176.788793668653,-0.197793412672782
1.57802646037465,4.84538381203128,137,279,223,502,0.284958979033728,-6.04940747493163,177.763213105436,-0.453724146966747
1.59988906067532,4.95248296880149,151,279,210,489,0.284958979033728,11.6550592525068,190.707592048921,0.843976772667374
1.62175166097598,5.0619493744473,132,321,207,528,0.284958979033728,-18.4583409298086,174.874455218467,-1.39582019009187
1.64361426127665,5.17383535307106,145,318,241,559,0.284958979033728,-14.2920692798542,190.391705430157,-1.03578853774849
1.66547686157732,5.28819438531241,141,349,252,601,0.284958979033728,-30.2603463992707,189.802173458899,-2.19646002973386
1.68733946187799,5.40508113391169,150,352,245,597,0.284958979033728,-20.1205104831358,198.477366979971,-1.42818181915092
1.70920206217866,5.52455146983826,156,349,234,583,0.284958979033728,-10.1310847766636,203.340544303724,-0.710467078819356
1.73106466247933,5.6466624989964,179,347,272,619,0.284958979033728,2.61039197812215,229.263802614074,0.172400285406673
1.75292726278,5.7714725895215,180,330,270,600,0.284958979033728,9.02461257976299,228.720971839167,0.596726841232876
1.77478986308066,5.8990413996796,137,325,265,590,0.284958979033728,-31.1257976298997,184.908955641847,-2.28897746264323
1.79665246338133,6.02942990638355,169,348,273,621,0.284958979033728,-7.95952597994531,219.426205853538,-0.537332312626246
1.818515063682,6.16270043433953,168,337,292,629,0.284958979033728,-11.2391978122151,219.075818811393,-0.759343173811816
1.84037766398267,6.29891668583778,186,365,301,666,0.284958979033728,-3.78268003646309,240.080278741475,-0.244130119712244
1.86224026428334,6.43814377120178,176,419,304,723,0.284958979033728,-30.0253418413856,234.708771066196,-1.95985211007059
1.88410286458401,6.58044823991054,190,405,322,727,0.284958979033728,-17.1651777575205,249.033577545124,-1.08772560375294
1.90596546488468,6.72589811240866,212,444,308,752,0.284958979033728,-2.28915223336372,273.063618038423,-0.138529655752338
1.92782806518535,6.87456291261968,222,423,304,727,0.284958979033728,14.8348222424795,281.033577545124,0.884918431290895
1.94969066548601,7.02651370117789,191,449,296,745,0.284958979033728,-21.2944393801276,251.495206700299,-1.34276914990973
1.97155326578668,7.18182310939483,189,480,294,774,0.284958979033728,-31.5582497721057,251.850053672525,-1.98857458797435
1.99341586608735,7.34056537397646,234,490,304,794,0.284958979033728,7.74257064721968,298.474086067164,0.448158730492282
2.01527846638802,7.50281637250776,223,556,354,910,0.284958979033728,-36.3126709206928,296.89347395607,-2.10745285614783
2.03714106668869,7.66865365972164,216,560,346,906,0.284958979033728,-42.1728350045579,289.568667477142,-2.47831789615879
2.05900366698936,7.83815650456949,237,668,364,1032,0.284958979033728,-57.0776663628077,320.800071563367,-3.18675723372055
2.40880527180006,11.1206670307162,351,677,550,1227,0.284958979033728,1.35533272561531,450.634387411096,0.0638460098029869
2.43066787210073,11.3664708943347,363,717,543,1260,0.284958979033728,3.95168641750229,465.314040862251,0.183193219621734
2.45253047240139,11.6177078438646,356,762,544,1306,0.284958979033728,-16.1564266180492,462.04931536992,-0.751624878866519
2.47439307270206,11.8744979686409,345,726,596,1322,0.284958979033728,-31.7157702825889,452.348541285631,-1.49120951630919
2.49625567300273,12.1369640123738,349,799,585,1384,0.284958979033728,-45.3832269826801,461.383041709012,-2.11283002209846
2.5181182733034,12.4052314318191,317,663,526,1189,0.284958979033728,-21.816226071103,413.548725861282,-1.07279386634306
2.69301907570875,14.7762191712528,391,473,629,1102,0.284958979033728,76.9752051048313,480.484184944603,3.51165066306302
2.71488167600942,15.1028229398879,332,460,591,1051,0.284958979033728,32.5081130355515,417.342902338274,1.59127501994423
2.73674427631009,15.4366457420559,335,430,627,1057,0.284958979033728,33.7983591613491,420.830112056666,1.64756369263749
2.75860687661076,15.777847142496,313,392,568,960,0.284958979033728,39.4393801276208,390.953554942667,1.99465365540481
2.78046947691142,16.1265902328606,300,300,563,863,0.284958979033728,54.0804010938924,370.076997828668,2.81121368163681
2.80233207721209,16.4830417096723,283,223,571,794,0.284958979033728,56.7425706472197,347.474086067164,3.04402206667203
2.82419467751276,16.8473719540032,258,171,547,718,0.284958979033728,53.399453053783,316.302762967536,3.00251590046801
2.84605727781343,17.2197551129157,235,106,520,626,0.284958979033728,56.615679124886,285.832213952197,3.34873772427592
2.8679198781141,17.6003691827039,187,65,486,551,0.284958979033728,29.9876025524157,231.742092472302,1.96987779245034
2.88978247841477,17.9893960939738,161,22,456,478,0.284958979033728,24.7896080218779,199.81437423187,1.75370401408218
2.91164507871544,18.3870217986055,114,13,447,460,0.284958979033728,-17.081130355515,151.352745076695,-1.38842190210066
2.93350767901611,18.7934363586361,68,3,369,372,0.284958979033728,-38.0047402005469,98.2070025402835,-3.83501034820941
